model_id,date_id,gearbox_id,features_id,km,price
110,4,1,14,8908,19980
111,3,2,6,38157,19980
112,5,2,3,16056,19980
113,1,1,10,54270,19980
114,4,2,25,12551,19980
115,3,2,4,29720,19980
83,3,2,6,31257,19980
116,2,2,13,24315,19980
117,2,1,4,46775,19980
16,1,1,12,41000,19980
27,5,1,4,9864,19980
11,3,1,4,27051,19980
61,3,1,4,43952,19980
118,5,1,4,11989,19980
109,5,1,3,30165,19980
119,3,1,4,103972,19980
120,5,1,3,11097,19980
24,5,2,3,14990,19980
43,4,2,4,39304,22299
64,2,2,10,44585,22299
58,5,1,3,6022,22299
121,4,1,14,42567,22299
122,2,2,13,14318,22299
123,4,2,16,38106,22299
23,4,2,4,1658,22299
124,3,1,6,20801,22299
125,1,1,26,86012,22299
126,3,2,4,46307,22299
127,3,1,11,66327,22299
128,2,1,21,24800,22299
75,5,1,4,19179,22299
74,4,1,14,12792,22299
129,4,1,27,10509,22299
24,5,2,3,20187,22299
130,3,2,4,22915,22299
131,2,2,7,39731,22299
15,2,2,6,47185,22299
132,6,2,28,40157,22299
31,5,1,3,8039,22299
133,5,1,3,17589,22299
134,4,1,14,29119,22299
52,5,1,3,6939,22299
135,1,2,7,60000,22299
136,4,1,16,19485,22299
137,4,2,7,12247,22299
138,2,2,3,29414,22299
16,2,1,12,65302,22299
139,3,2,8,59581,22299
63,4,1,8,5897,15499
53,4,1,11,39500,15499
140,1,1,8,63199,15499
54,1,2,15,21547,15499
141,3,2,13,39298,15499
142,1,2,29,37380,15499
143,3,1,7,54746,15499
31,5,1,3,12540,15499
144,4,1,14,8444,15499
37,3,2,3,55691,15499
145,4,1,3,35733,15499
146,3,1,12,43266,15499
85,3,1,11,26400,15499
16,3,1,12,11090,15499
147,2,1,11,49003,15499
31,5,1,3,12970,15499
148,4,1,25,25507,12799
149,4,2,3,29541,12799
31,5,1,3,24788,12799
150,8,2,20,100,12799
151,2,2,6,19900,12799
27,5,1,14,7079,12799
152,4,1,27,37452,12799
137,4,2,4,24704,12799
61,3,1,4,26794,12799
24,3,2,3,79240,12799
153,4,2,3,36967,12799
144,5,1,14,12047,12799
154,3,1,4,44715,12799
74,5,1,14,14730,12799
155,3,2,3,30685,12799
111,4,2,6,41095,12799
156,2,2,30,57271,12799
157,3,1,14,23654,12799
73,3,2,2,47500,12799
11,3,1,4,52460,12799
85,3,1,11,41536,12799
158,4,1,14,19049,12799
159,7,2,15,69158,12799
160,5,2,14,14846,12799
161,1,1,21,18647,12799
162,2,2,13,22457,12799
63,4,1,8,15258,12799
163,4,1,5,15742,12799
164,3,2,28,21995,12799
27,5,1,14,7809,12799
36,5,1,4,7613,22999
83,3,2,6,10483,22999
85,3,1,11,28427,22999
156,3,2,30,37580,22999
165,3,1,10,26719,22999
166,2,1,16,40394,22999
167,2,2,3,64803,22999
168,5,2,23,5019,22999
169,2,2,2,47992,22999
170,4,2,3,62803,22999
171,3,2,18,21991,22999
110,4,1,14,14203,22999
172,3,1,25,26139,22999
172,4,1,25,34481,22999
173,2,2,8,30507,22999
50,5,2,3,8627,22999
111,4,2,6,28480,22999
174,2,2,10,53538,22999
175,4,2,6,20356,22999
176,4,2,4,15800,22999
177,6,1,12,52950,22999
114,4,2,25,11094,22999
178,5,2,3,4465,22999
179,5,2,20,18000,22999
180,4,1,14,33905,22999
31,5,1,3,5571,22999
57,5,1,3,10897,22999
11,4,1,4,24708,22999
181,2,1,12,56731,22999
182,4,2,6,13050,22999
183,5,1,27,11310,15980
184,5,1,27,13451,15980
63,4,1,8,5575,15980
185,2,2,6,41526,15980
157,3,1,14,18530,15980
110,4,1,14,13223,15980
118,3,1,4,21093,15980
186,2,2,6,54570,15980
51,2,1,4,49458,15980
23,4,2,7,18165,15980
187,1,1,10,60512,15980
188,5,2,23,3068,15980
176,4,2,4,13000,15980
153,4,2,3,25032,15980
189,5,1,14,19121,15980
39,4,2,14,40539,15980
190,4,2,3,56285,15980
188,3,2,3,14284,15980
4,5,2,4,16188,15980
174,3,2,6,51500,15980
191,1,1,12,123177,15980
192,9,1,19,53239,15980
193,4,1,12,32699,15980
194,4,2,5,37807,15980
195,10,1,18,83000,15980
196,9,1,3,57897,15980
197,1,1,31,57224,15980
198,5,2,11,15000,15980
72,1,1,14,91719,15980
199,3,1,32,42200,15980
200,11,2,28,55516,7979
201,4,1,3,7275,7979
202,3,2,33,78500,7979
203,2,1,10,82520,7979
204,5,1,14,4500,7979
205,2,2,3,79061,7979
206,4,1,3,11200,7979
207,4,1,34,300,7979
208,7,1,13,79068,7979
209,2,1,8,80546,7979
210,5,2,3,100,7979
211,5,1,35,15675,7979
212,1,2,6,68574,7979
110,5,1,14,11982,7979
213,1,2,3,94247,7979
214,3,2,3,34865,7979
215,3,2,14,43337,7979
216,3,2,30,20786,7979
152,4,1,27,1900,7979
217,3,2,6,40679,7979
218,12,1,6,103492,7979
219,8,2,3,7,7979
183,5,1,27,14321,7979
220,9,2,4,77593,7979
84,5,1,3,2596,7979
75,4,1,4,40142,7979
221,3,2,14,99870,7979
222,4,1,12,34157,7979
223,4,2,4,49246,7979
224,2,1,14,21371,7979
36,5,1,4,12182,21999
95,4,1,6,17184,21999
225,1,1,17,94517,21999
226,5,2,6,6000,21999
227,2,1,10,43376,21999
228,4,2,25,18221,21999
229,3,2,6,107111,21999
230,5,2,6,500,21999
231,2,1,16,64012,21999
232,1,2,30,92755,21999
233,1,1,3,54295,21999
234,2,1,15,61781,21999
118,2,1,2,50252,21999
73,2,2,2,34639,21999
235,7,2,36,35634,21999
20,3,1,4,26541,21999
236,2,1,10,37679,21999
237,5,2,37,990,21999
57,5,1,3,11285,21999
238,5,2,6,8000,21999
239,6,2,30,52294,21999
240,4,2,26,30,21999
241,9,2,6,57391,21999
242,2,1,2,39517,21999
231,2,1,16,48985,21999
243,5,1,6,16417,21999
228,3,2,25,27484,21999
244,4,1,14,46555,21999
245,6,1,3,50193,21999
246,3,1,38,45416,21999
247,2,2,3,16000,22277
101,8,2,4,6000,22277
248,3,1,21,51858,22277
249,1,2,4,26459,22277
250,11,2,28,85143,22277
251,2,2,3,75900,22277
155,5,2,23,1000,22277
252,2,2,30,21086,22277
253,10,2,28,64172,22277
254,4,1,8,33337,22277
255,9,1,10,47738,22277
21,4,2,15,15244,22277
256,5,2,6,2723,22277
104,3,1,16,30744,22277
257,2,1,14,27408,22277
258,4,2,6,210,22277
55,4,2,19,24415,22277
259,3,2,6,56205,22277
260,3,2,5,83616,22277
261,3,2,3,28700,22277
262,2,2,30,52340,22277
263,5,2,3,9422,22277
264,4,1,39,130840,22277
265,3,1,23,56650,22277
266,1,1,8,67326,22277
118,2,1,2,30404,22277
267,2,2,33,67621,22277
157,3,1,14,36782,22277
58,5,1,3,16092,22277
268,2,1,32,68784,22277
269,5,2,20,9327,35299
270,3,2,23,38799,35299
271,3,2,4,40693,35299
272,3,2,39,44889,35299
273,4,2,3,13325,35299
274,1,2,6,86500,35299
275,8,2,3,9500,35299
4,4,2,4,33983,35299
276,4,1,14,10,35299
277,4,2,40,32702,35299
129,3,1,11,20692,35299
278,1,2,41,69156,35299
222,4,1,12,55409,35299
279,3,2,42,49778,35299
280,9,1,43,94212,35299
281,2,2,4,51510,35299
282,1,1,6,76744,35299
283,1,1,35,39277,35299
158,4,1,14,11251,35299
27,5,1,14,8349,35299
284,2,1,32,69350,35299
144,4,1,14,7774,35299
285,5,2,3,32948,35299
286,9,1,17,59769,35299
287,1,2,5,71161,35299
288,5,1,14,21947,35299
260,3,2,10,74759,35299
289,7,1,22,51455,35299
290,4,2,3,8512,35299
16,3,1,12,30057,35299
291,3,2,3,31259,33999
292,9,2,38,47760,33999
128,2,1,21,61663,33999
35,5,2,6,6281,33999
293,3,2,30,33102,33999
294,7,1,37,61383,33999
295,4,1,4,28644,33999
296,5,2,6,20000,33999
297,4,1,8,45500,33999
298,3,2,7,37182,33999
299,6,2,25,74899,33999
300,6,2,6,68834,33999
301,4,2,3,19494,33999
74,4,1,14,22711,33999
302,3,2,4,3990,33999
303,5,1,14,8158,33999
121,5,1,14,25432,33999
304,2,2,4,29538,33999
305,12,2,10,120750,33999
306,5,1,44,10,33999
307,2,1,11,45428,33999
308,5,2,6,20500,33999
309,5,2,6,14993,33999
310,8,2,3,10,33999
311,9,2,10,95470,33999
312,2,2,4,29450,33999
313,1,2,4,40320,33999
314,5,2,3,9166,33999
295,5,1,4,37799,33999
53,4,1,11,20100,33999
315,1,2,10,79933,19499
27,5,1,4,9901,19499
316,5,1,3,16684,19499
317,4,2,3,16178,19499
293,3,2,30,29278,19499
318,2,2,13,31147,19499
319,6,1,19,82989,19499
320,3,1,6,45287,19499
321,5,2,6,10,19499
2,2,2,2,45313,19499
322,6,1,45,60035,19499
323,5,2,3,9000,19499
324,2,2,6,65107,19499
325,8,2,6,10,19499
71,2,2,7,49386,19499
144,4,1,14,22122,19499
196,7,1,3,96624,19499
326,1,1,10,56741,19499
327,1,1,2,35349,19499
328,7,1,12,96867,19499
329,3,2,3,38059,19499
35,5,2,6,6000,19499
330,2,2,3,67454,19499
331,4,2,3,19450,19499
166,2,1,16,36407,19499
332,2,2,6,66896,19499
333,7,1,46,61685,19499
334,3,2,10,28597,19499
102,4,2,3,31256,19499
335,3,1,34,42730,19499
336,1,1,16,33832,15699
337,7,1,46,89766,15699
338,8,2,3,100,15699
339,5,2,6,4442,15699
340,8,1,3,3000,15699
341,11,1,35,134145,15699
153,4,2,3,22694,15699
342,1,1,13,60723,15699
343,4,1,3,12957,15699
344,11,2,1,40771,15699
345,3,1,8,52485,15699
346,9,1,6,97000,15699
347,6,2,10,60000,15699
348,3,2,3,50985,15699
349,3,2,3,58634,15699
350,5,1,5,7988,15699
85,3,1,11,22378,15699
351,4,1,13,35854,15699
352,4,2,47,37500,15699
353,9,2,10,91680,15699
354,5,2,3,10,15699
355,3,1,13,90930,15699
105,5,2,3,16900,15699
356,5,2,6,15200,15699
357,1,1,4,82587,15699
358,3,2,21,15739,15699
359,3,2,6,60635,15699
360,3,2,3,50672,15699
361,6,2,6,120748,15699
362,2,2,6,88152,15699
61,3,1,4,34126,15499
363,5,1,35,13626,15499
364,1,1,10,29757,15499
365,5,1,3,21404,15499
366,2,1,8,88636,15499
367,2,2,10,40874,15499
148,4,1,25,10461,15499
36,5,1,4,14480,15499
368,2,2,15,27459,15499
369,5,2,3,9990,15499
24,2,2,3,48450,15499
370,2,2,12,27938,15499
371,4,2,48,7068,15499
372,3,1,5,35237,15499
373,8,2,3,100,15499
374,3,1,5,35815,15499
375,7,1,5,111293,15499
376,5,2,3,10500,15499
196,9,1,6,57718,15499
244,3,1,14,39188,15499
222,3,1,49,121080,15499
377,2,1,2,84702,15499
378,8,1,16,7000,15499
379,9,1,6,66200,15499
380,2,2,7,71348,15499
381,2,2,15,49389,15499
171,3,2,18,30973,15499
24,5,2,3,28722,15499
382,6,1,10,60557,15499
275,6,2,6,61717,15499
109,4,1,3,34089,26299
71,2,2,7,26970,26299
383,4,2,3,50624,26299
384,6,1,10,58600,26299
385,4,2,9,43440,26299
155,3,2,3,11993,26299
386,2,1,21,30397,26299
387,4,2,12,11854,26299
388,3,2,4,39560,26299
389,4,2,33,7202,26299
51,1,1,4,59191,26299
390,3,1,43,35421,26299
244,3,1,14,15763,26299
391,4,2,3,19681,26299
392,5,2,6,8836,26299
21,3,2,15,31247,26299
393,4,1,8,39164,26299
394,5,2,30,5600,26299
395,5,2,3,9000,26299
396,2,1,3,103798,26299
397,4,2,3,14650,26299
176,5,2,4,10,26299
398,1,1,10,72311,26299
399,3,1,3,34538,26299
400,4,1,14,8990,26299
401,2,2,6,27648,26299
152,4,1,27,4000,26299
15,2,2,6,38471,26299
402,5,1,3,3000,26299
403,6,1,21,48586,26299
404,2,2,40,70733,31999
118,3,1,4,78226,31999
405,4,1,14,23911,31999
406,3,2,3,50401,31999
407,7,2,25,52466,31999
408,5,2,3,9900,31999
409,1,2,7,53761,31999
410,5,1,3,11650,31999
411,1,2,45,49662,31999
412,2,1,19,22259,31999
413,4,2,5,12000,31999
414,8,2,6,100,31999
415,3,2,28,34081,31999
298,4,2,10,5955,31999
416,5,1,44,10,31999
417,9,1,19,66577,31999
418,5,1,26,15,31999
419,1,1,3,56674,31999
83,3,2,6,32355,31999
84,5,1,3,10000,31999
420,10,2,28,72753,31999
421,3,2,3,33341,31999
50,5,2,6,4780,31999
422,4,2,5,27000,31999
111,3,2,6,39664,31999
423,1,1,3,58200,31999
424,2,1,4,41305,31999
425,13,2,10,44221,31999
426,2,2,6,60400,31999
427,9,1,7,105809,31999
428,5,2,42,20699,33999
74,5,1,14,7915,33999
235,9,2,36,91372,33999
429,9,2,10,27815,33999
430,5,2,3,16295,33999
431,1,2,11,66959,33999
432,1,2,5,18398,33999
433,2,1,13,61620,33999
5,5,1,3,10000,33999
434,9,2,46,97042,33999
386,2,1,21,28829,33999
435,9,2,3,14678,33999
436,3,2,23,9324,33999
437,5,2,3,18411,33999
438,2,2,6,39195,33999
84,5,1,3,1832,33999
276,5,1,14,25155,33999
353,9,2,10,96052,33999
78,4,1,3,40615,33999
16,3,1,12,21957,33999
392,3,2,3,78822,33999
158,5,1,14,313,33999
439,9,1,10,89393,33999
440,4,2,6,36309,33999
24,4,2,3,101899,33999
441,8,2,3,9990,33999
442,4,1,3,38055,33999
443,7,1,6,113473,33999
444,5,2,33,10000,33999
445,5,2,30,3778,33999
446,5,2,23,16900,23480
300,2,2,6,50822,23480
447,1,1,12,64068,23480
448,3,2,10,30200,23480
449,7,2,10,140040,23480
450,5,2,3,9000,23480
211,5,1,35,4242,23480
451,5,2,6,46538,23480
452,4,2,3,10500,23480
222,3,1,12,82452,23480
453,2,1,43,15509,23480
151,2,2,7,43507,23480
454,7,2,6,137376,23480
455,6,2,5,55003,23480
456,1,1,22,91937,23480
457,4,1,23,8099,23480
458,8,2,6,8000,23480
154,1,1,4,75750,23480
459,6,1,7,33124,23480
460,4,2,3,14613,23480
461,2,2,45,35626,23480
285,4,2,6,19033,23480
462,5,2,11,10,23480
463,5,1,34,11750,23480
72,3,1,14,60455,23480
16,2,1,12,36188,23480
53,5,1,6,10,23480
464,8,2,6,9900,23480
465,5,2,3,5000,23480
466,5,2,6,9500,23480
133,4,1,3,12917,18499
467,2,2,6,71906,18499
31,5,1,3,19486,18499
468,3,2,4,31776,18499
469,1,1,1,40385,18499
470,8,2,6,3000,18499
144,4,1,14,7107,18499
471,9,1,21,68357,18499
472,3,2,6,34265,18499
473,4,2,4,21657,18499
474,4,2,47,6096,18499
475,6,1,7,95747,18499
476,3,2,4,37034,18499
78,4,1,3,37700,18499
94,5,2,30,9174,18499
477,5,1,14,12674,18499
478,2,1,10,66721,18499
479,1,1,5,21668,18499
480,3,1,13,55000,18499
481,4,2,18,28410,18499
482,5,2,3,18120,18499
483,6,2,3,80099,18499
44,3,1,5,41159,18499
484,6,2,6,94197,18499
485,5,2,3,12000,18499
486,2,2,25,54032,18499
487,5,2,6,10000,18499
488,5,2,6,14990,18499
489,3,2,4,65930,18499
490,5,1,14,20416,18499
491,4,1,14,30298,13499
74,5,1,14,7947,13499
492,3,1,4,26971,13499
50,5,2,3,9125,13499
78,4,1,3,29272,13499
158,4,1,14,4868,13499
493,5,2,20,8000,13499
17,5,2,4,10273,13499
39,3,2,14,19310,13499
494,5,2,23,9000,13499
495,3,1,26,76710,13499
105,5,2,3,8081,13499
9,4,1,8,10940,13499
475,9,1,10,98016,13499
29,6,1,5,103633,13499
270,4,2,23,36016,13499
37,4,2,3,33254,13499
496,6,1,1,19400,13499
497,2,2,3,20210,13499
498,5,1,14,79308,13499
499,2,1,21,49000,13499
38,2,1,18,42369,13499
500,5,2,4,9730,13499
501,3,2,6,75455,13499
502,5,2,20,7536,13499
123,4,2,16,38256,13499
503,3,2,6,45373,13499
504,3,2,6,42201,13499
505,3,1,5,45761,13499
506,2,1,4,9100,13499
507,2,2,25,9296,14499
508,5,1,50,29704,14499
509,3,1,14,30915,14499
510,9,2,28,79159,14499
511,4,2,5,18374,14499
512,2,1,5,59405,14499
513,2,2,5,20379,14499
514,6,1,10,86708,14499
515,6,1,26,58666,14499
516,3,2,6,30352,14499
62,3,2,4,26417,14499
517,3,2,48,65400,14499
518,5,2,20,7200,14499
474,3,2,47,10000,14499
519,5,2,6,14081,14499
520,8,2,9,7500,14499
521,11,1,5,105221,14499
522,3,2,4,42151,14499
137,3,2,4,35000,14499
523,9,1,6,72386,14499
524,5,2,3,13994,14499
51,1,1,4,49719,14499
525,4,2,6,41579,14499
110,3,1,14,69396,14499
526,1,2,30,30000,14499
527,1,1,21,12627,14499
528,5,2,51,18287,14499
529,7,1,12,89730,14499
530,2,2,25,36034,14499
531,3,2,28,29714,14499
532,3,2,6,81336,31900
533,2,1,11,20400,31900
534,4,2,3,26655,31900
535,3,2,33,34542,31900
536,3,1,3,77858,31900
27,5,1,7,6561,31900
537,6,2,3,60417,31900
538,1,2,17,41800,31900
266,6,1,12,41042,31900
121,5,1,14,9900,31900
539,1,1,21,117460,31900
540,4,1,10,23314,31900
541,6,1,8,47768,31900
542,4,2,3,82602,31900
543,6,2,4,64200,31900
544,5,2,52,3900,31900
545,8,2,3,7500,31900
546,1,1,50,61636,31900
547,2,1,15,54523,31900
75,2,1,10,29857,31900
469,2,1,1,16500,31900
548,8,1,12,100,31900
36,5,1,4,16280,31900
549,2,1,23,67573,31900
550,3,2,50,35654,31900
513,2,2,5,12208,31900
551,2,2,4,30600,31900
552,5,2,11,3142,31900
553,4,2,6,57416,31900
78,4,1,3,37353,31900
127,3,1,11,11800,15439
480,4,1,13,46854,15439
554,5,2,3,5000,15439
555,6,2,10,115600,15439
556,6,1,22,46853,15439
557,11,2,6,138206,15439
354,5,2,3,9000,15439
121,5,1,14,11066,15439
558,5,2,4,5000,15439
559,3,2,53,7322,15439
560,1,1,8,33337,15439
561,9,2,4,99869,15439
562,3,2,4,53869,15439
563,2,1,32,43103,15439
232,6,2,30,52642,15439
564,4,2,3,28733,15439
474,3,2,47,15602,15439
565,5,1,13,10588,15439
566,5,2,7,30250,15439
567,5,2,23,13955,15439
568,4,2,39,7538,15439
58,5,1,3,15443,15439
569,6,2,30,107265,15439
84,4,1,3,11954,15439
570,3,1,4,23042,15439
183,5,1,27,18000,15439
571,3,1,11,23089,15439
572,5,2,6,6000,15439
573,1,1,6,85731,15439
55,3,2,19,28788,15439
574,6,2,6,86368,38890
575,8,2,5,4997,38890
576,1,2,33,35968,38890
577,1,2,6,41275,38890
578,6,1,4,44610,38890
401,2,2,6,61000,38890
172,4,1,25,29306,38890
579,3,1,34,46579,38890
580,5,1,4,9500,38890
581,2,2,3,53972,38890
582,3,2,6,39248,38890
583,2,2,23,13836,38890
584,5,2,17,10,38890
585,4,2,44,10000,38890
74,5,1,14,20029,38890
586,5,2,6,5700,38890
587,2,1,10,22089,38890
588,5,1,17,230,38890
589,1,2,3,94225,38890
590,9,1,10,114613,38890
534,4,2,3,12300,38890
591,5,2,30,7235,38890
592,8,2,20,8641,38890
593,1,1,4,44170,38890
594,2,1,22,18617,38890
595,3,1,14,42907,38890
35,5,2,6,5331,38890
139,3,2,8,34340,38890
45,5,1,3,4755,38890
596,2,1,10,37091,38890
597,11,2,15,38561,7499
598,2,2,10,26000,7499
599,2,1,6,67050,7499
428,5,2,20,8000,7499
600,2,2,3,26984,7499
319,9,1,19,107041,7499
158,4,1,14,16569,7499
601,7,1,13,95700,7499
565,5,1,13,10,7499
602,3,1,26,78200,7499
158,5,1,14,5,7499
603,2,2,10,103295,7499
604,2,2,2,60334,7499
605,5,2,6,8520,7499
606,1,2,3,56186,7499
607,2,2,5,50047,7499
84,4,1,3,21129,7499
608,5,2,3,10000,7499
609,1,1,50,39232,7499
610,3,2,18,10468,7499
611,3,2,3,40291,7499
612,5,2,3,20408,7499
613,2,2,7,62457,7499
43,3,2,4,24860,7499
11,3,1,4,56065,7499
474,3,2,47,2458,7499
83,3,2,6,41202,7499
614,3,2,54,125753,7499
615,8,2,6,9500,7499
570,4,1,4,69687,7499
616,3,1,5,80764,18299
188,4,2,23,32325,18299
607,2,2,5,95033,18299
617,8,2,6,10,18299
618,5,2,3,12500,18299
619,9,1,10,92795,18299
91,2,2,4,17432,18299
2,2,2,2,19342,18299
53,4,1,11,35100,18299
620,1,1,41,84483,18299
621,4,1,4,7233,18299
622,3,1,6,63516,18299
53,4,1,11,39137,18299
623,7,1,15,60841,18299
520,5,2,48,13121,18299
206,3,1,3,14400,18299
624,5,1,12,1,18299
9,4,1,8,9928,18299
10,5,2,20,3000,18299
251,6,2,3,100504,18299
153,4,2,3,22201,18299
427,9,1,7,97695,18299
91,2,2,4,66959,18299
625,4,2,6,2500,18299
61,4,1,4,8000,18299
626,8,2,6,7500,18299
509,2,1,14,33920,18299
109,5,1,3,38488,18299
627,1,1,18,3000,18299
628,4,2,6,7384,18299
629,4,2,6,30427,24999
498,4,1,14,12213,24999
263,8,2,3,10000,24999
277,3,2,40,63783,24999
630,1,1,12,34635,24999
631,9,2,6,44038,24999
632,5,2,3,8000,24999
633,2,1,4,29836,24999
634,5,2,4,20000,24999
635,3,1,33,103521,24999
636,1,2,3,41568,24999
637,2,1,2,37166,24999
56,5,2,6,9500,24999
145,4,1,3,34925,24999
24,5,2,3,11000,24999
37,4,2,3,38710,24999
638,1,1,50,68939,24999
23,5,2,7,26205,24999
639,6,1,21,50191,24999
182,4,2,6,15568,24999
21,2,2,15,68801,24999
640,5,2,6,7000,24999
367,5,2,6,19889,24999
24,5,2,3,19317,24999
641,1,1,31,30500,24999
642,5,2,3,10700,24999
172,3,1,25,33879,24999
643,4,2,3,37554,24999
279,3,2,42,31687,24999
644,3,2,34,48620,24999
645,5,1,13,3649,16490
646,5,1,30,5013,16490
647,2,2,10,87958,16490
392,3,2,3,59486,16490
648,1,1,20,61000,16490
649,1,1,5,49683,16490
650,1,1,16,7735,16490
651,5,2,3,9500,16490
652,5,2,42,19900,16490
653,2,1,6,51508,16490
75,2,1,10,44821,16490
654,1,1,23,83583,16490
651,5,2,6,9990,16490
655,6,1,18,43442,16490
64,2,2,10,31294,16490
656,3,2,11,50200,16490
657,1,1,10,86162,16490
658,2,2,30,51676,16490
180,4,1,14,9927,16490
31,5,1,3,13280,16490
16,2,1,12,58330,16490
659,6,2,4,105772,16490
659,6,2,4,105772,16490
660,4,2,5,9790,16490
661,4,2,3,32632,16490
662,2,2,7,114599,16490
188,4,2,23,43910,16490
663,5,2,20,7000,16490
664,11,2,10,99609,16490
665,4,2,4,14190,16490
666,7,2,6,20653,26499
466,5,2,6,9900,26499
667,1,1,5,80462,26499
560,1,1,8,88506,26499
118,5,1,4,5867,26499
668,1,2,30,46530,26499
669,9,1,5,56200,26499
670,1,2,17,84779,26499
671,3,2,5,12561,26499
672,2,2,15,4699,26499
673,4,2,6,1061,26499
674,1,2,28,61163,26499
675,8,2,6,8000,26499
676,4,2,4,32851,26499
677,4,2,3,16552,26499
53,4,1,11,42900,26499
678,4,1,23,32258,26499
679,6,1,15,36510,26499
500,5,2,4,4788,26499
172,3,1,25,10149,26499
680,5,1,5,6000,26499
681,7,1,12,110280,26499
682,5,2,5,5000,26499
139,2,2,8,45320,26499
683,7,1,12,96852,26499
684,2,1,23,40675,26499
129,5,1,27,17066,26499
685,2,2,5,59122,26499
686,1,1,4,34589,26499
687,5,2,6,50,26499
688,5,2,23,100,40790
319,9,1,19,53556,40790
689,5,2,3,3450,40790
690,4,2,38,5203,40790
140,1,1,8,54923,40790
50,5,2,6,1939,40790
691,4,2,20,27626,40790
692,3,2,28,36127,40790
693,5,2,4,2500,40790
694,2,2,4,61962,40790
695,1,2,5,57300,40790
696,2,2,2,32682,40790
697,3,1,8,22424,40790
698,3,1,4,36467,40790
699,2,1,14,40653,40790
700,3,2,6,44179,40790
701,4,2,6,89314,40790
45,5,1,3,3590,40790
92,5,2,20,8000,40790
1,2,1,1,22692,40790
137,4,2,4,41622,40790
513,2,2,5,25762,40790
702,9,1,6,61435,40790
